County,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Crime Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Richmond County,1996,194000,179100,14900,7.7,11951,2523,28,45,927,1523,9428,1872,4799,2757,New York City
Richmond County,1997,199400,185900,13500,6.8,11346,2571,16,55,959,1541,8775,1675,4846,2254,New York City
Richmond County,1998,202400,191200,11100,5.5,9060,1855,12,43,549,1251,7205,1280,4126,1799,New York City
Richmond County,1999,208800,198800,10000,4.8,8617,1547,17,36,479,1015,7070,1054,4349,1667,New York City
Richmond County,2000,216900,207600,9300,4.3,8605,1714,25,49,473,1167,6891,1053,4511,1327,New York City
Richmond County,2001,217600,204300,13300,6.1,7693,1479,13,32,376,1058,6214,927,4224,1063,New York City
Richmond County,2002,221900,206200,15800,7.1,7848,1426,12,39,375,1000,6422,1010,4555,857,New York City
Richmond County,2003,222500,207500,15000,6.7,6957,1297,9,35,382,871,5660,792,4197,671,New York City
Richmond County,2004,228000,216200,11700,5.1,7102,1419,8,31,407,973,5683,801,4279,603,New York City
Richmond County,2005,232300,221400,10900,4.7,7065,1499,15,48,462,974,5566,803,4207,556,New York City
Richmond County,2006,237400,228600,8800,3.7,7136,1408,20,38,446,904,5728,675,4425,628,New York City
Richmond County,2007,241600,231200,10400,4.3,6839,1337,12,33,452,840,5502,759,4221,522,New York City
Richmond County,2008,247200,232500,14700,5.9,7508,1325,21,43,475,786,6183,810,4907,466,New York City
Richmond County,2009,245600,224100,21500,8.7,6962,1303,16,33,395,859,5659,629,4602,428,New York City
Richmond County,2010,217500,198500,19000,8.7,6819,1351,17,44,424,866,5468,611,4509,348,New York City
Richmond County,2011,218300,198400,19900,9.1,6801,1428,16,32,398,982,5373,723,4310,340,New York City
Richmond County,2012,219900,199900,20000,9.1,7146,1664,10,35,445,1174,5482,726,4444,312,New York City
Richmond County,2013,219500,202700,16900,7.7,7234,1658,7,32,526,1093,5576,669,4681,226,New York City
Richmond County,2014,219100,205900,13200,6,6865,1551,15,31,417,1088,5314,589,4505,220,New York City
Richmond County,2015,217600,206700,10900,5,6465,1651,14,94,456,1087,4814,557,4038,219,New York City
Richmond County,2016,219000,209400,9600,4.4,6313,1589,21,99,422,1047,4724,488,3989,247,New York City
Richmond County,2017,228000,219000,9000,3.9,5969,1451,13,90,328,1020,4518,401,3883,234,New York City
Richmond County,2018,232600,223600,9000,3.9,5738,1408,10,128,327,943,4330,342,3803,185,New York City
Richmond County,2019,233600,226200,7400,3.2,4789,1298,14,113,227,944,3491,262,3050,179,New York City
Richmond County,2020,219700,197800,22000,10,5042,1347,20,84,245,998,3695,286,3163,246,New York City
Richmond County,2021,225100,209300,15700,7,4845,1313,15,92,207,999,3532,194,3053,285,New York City
Richmond County,2022,227300,216500,10700,4.7,7181,1746,11,81,289,1365,5435,303,4613,519,New York City
Rockland County,1990,143300,138000,5300,3.7,8508,709,5,40,178,486,7799,1429,5790,580,Non-New York City
Rockland County,1991,139200,131300,8000,5.7,7910,787,7,40,199,541,7123,1501,5131,491,Non-New York City
Rockland County,1992,141400,133300,8100,5.7,7715,730,7,46,218,459,6985,1353,5154,478,Non-New York City
Rockland County,1993,143100,135500,7600,5.3,7648,618,7,35,196,380,7030,1190,5457,383,Non-New York City
Rockland County,1994,142200,136200,6000,4.2,7378,659,7,27,186,439,6719,1190,5149,380,Non-New York City
Rockland County,1995,137200,131600,5600,4.1,8587,767,8,27,296,436,7820,1373,5976,471,Non-New York City
Rockland County,1996,143100,137900,5300,3.7,7797,658,6,22,197,433,7139,1197,5564,378,Non-New York City
Rockland County,1997,144800,140100,4700,3.2,7437,746,2,28,223,493,6691,1252,5101,338,Non-New York City
Rockland County,1998,149000,145000,4000,2.7,7012,710,5,38,176,491,6302,962,5013,327,Non-New York City
Rockland County,1999,147000,143000,4000,2.7,6707,739,6,30,217,486,5968,787,4802,379,Non-New York City
Rockland County,2000,145000,141000,4000,2.7,6009,635,6,23,168,438,5374,789,4243,342,Non-New York City
Rockland County,2001,145100,139200,6000,4.1,6099,719,4,33,197,485,5380,885,4179,316,Non-New York City
Rockland County,2002,148200,142100,6100,4.1,5409,649,4,22,172,451,4760,736,3787,237,Non-New York City
Rockland County,2003,148000,141200,6800,4.6,4946,554,6,19,139,390,4392,628,3563,201,Non-New York City
Rockland County,2004,150700,144800,5900,3.9,5232,571,5,27,176,363,4661,553,3887,221,Non-New York City
Rockland County,2005,152400,146700,5700,3.7,4758,541,5,24,125,387,4217,539,3502,176,Non-New York City
Rockland County,2006,152900,148100,4800,3.1,4746,507,3,29,163,312,4239,543,3512,184,Non-New York City
Rockland County,2007,154000,148000,6000,3.9,4477,545,1,28,161,355,3932,508,3245,179,Non-New York City
Rockland County,2008,154200,145900,8300,5.4,5047,542,2,32,151,357,4505,562,3803,140,Non-New York City
Rockland County,2009,151600,140700,10900,7.2,4988,473,2,18,149,304,4515,498,3864,153,Non-New York City
Rockland County,2010,148000,137200,10900,7.3,4866,464,2,20,148,294,4402,587,3692,123,Non-New York City
Rockland County,2011,148300,137700,10600,7.1,4655,564,3,33,167,361,4091,534,3450,107,Non-New York City
Rockland County,2012,150100,139700,10500,7,4417,505,2,29,150,324,3912,552,3230,130,Non-New York City
Rockland County,2013,148100,140200,7900,5.3,3843,401,4,28,96,273,3442,416,2933,93,Non-New York City
Rockland County,2014,148400,141700,6700,4.5,3734,372,3,19,112,238,3362,379,2902,81,Non-New York City
Rockland County,2015,151600,145700,5900,3.9,3818,493,4,64,127,298,3325,303,2927,95,Non-New York City
Rockland County,2016,151200,145000,6300,4.1,3588,384,2,48,104,230,3204,262,2824,118,Non-New York City
Rockland County,2017,155000,148800,6200,4,3441,403,1,70,101,231,3038,273,2671,94,Non-New York City
Rockland County,2018,157600,152600,5100,3.2,3285,373,1,66,93,213,2912,189,2647,76,Non-New York City
Rockland County,2019,159900,154700,5200,3.3,2931,382,6,61,76,239,2549,172,2305,72,Non-New York City
Rockland County,2020,153400,145300,8100,5.3,2773,342,9,50,59,224,2431,224,2104,103,Non-New York City
Rockland County,2021,155700,151600,4100,2.6,2354,348,6,39,51,252,2006,142,1779,85,Non-New York City
Rockland County,2022,158400,154400,4000,2.5,2883,362,4,40,66,252,2521,143,2299,79,Non-New York City
Suffolk County,1990,704100,668300,35700,5.1,61300,3786,35,155,1536,2060,57514,12968,36506,8040,Non-New York City
Suffolk County,1991,691000,640100,50900,7.4,67697,3989,42,135,1835,1977,63708,14322,40040,9346,Non-New York City
Suffolk County,1992,691800,639200,52600,7.6,64042,4218,52,110,1885,2171,59824,13401,37000,9423,Non-New York City
Suffolk County,1993,692600,647400,45200,6.5,59241,3799,49,91,1825,1834,55442,12117,35099,8226,Non-New York City
Suffolk County,1994,693300,658400,34900,5,51720,3154,46,58,1340,1710,48566,9996,32713,5857,Non-New York City
Suffolk County,1995,687200,654100,33100,4.8,47187,2758,34,52,1099,1573,44429,7757,32445,4227,Non-New York City
Suffolk County,1996,708500,681200,27300,3.9,45231,2567,44,49,1072,1402,42664,7441,31400,3823,Non-New York City
Suffolk County,1997,721000,694000,27000,3.7,44265,2513,35,50,991,1437,41752,7710,30604,3438,Non-New York City
Suffolk County,1998,727800,706100,21700,3,41516,2730,34,159,927,1610,38786,5551,30481,2754,Non-New York City
Suffolk County,1999,735800,713200,22600,3.1,37443,2430,23,135,888,1384,35013,5162,27044,2807,Non-New York City
Suffolk County,2000,738800,716200,22600,3.1,36411,3049,28,118,982,1921,33362,4905,25500,2957,Non-New York City
Suffolk County,2001,745300,711500,33800,4.5,37655,3326,34,162,1047,2083,34329,5271,25836,3222,Non-New York City
Suffolk County,2002,759600,724700,34900,4.6,36707,3124,19,169,996,1940,33583,5211,25258,3114,Non-New York City
Suffolk County,2003,760400,724300,36100,4.8,35391,2975,29,142,1059,1745,32416,5139,24225,3052,Non-New York City
Suffolk County,2004,774100,740200,34000,4.4,32016,2844,28,130,958,1728,29172,4316,22091,2765,Non-New York City
Suffolk County,2005,785300,754600,30700,3.9,32092,3109,32,103,1159,1815,28983,4294,22311,2378,Non-New York City
Suffolk County,2006,789000,762200,26800,3.4,32596,3100,38,110,1142,1810,29496,4181,22831,2484,Non-New York City
Suffolk County,2007,789800,758100,31700,4,31374,2657,30,109,957,1561,28717,4066,22390,2261,Non-New York City
Suffolk County,2008,794000,746600,47400,6,34015,2613,39,112,985,1477,31402,4777,24523,2102,Non-New York City
Suffolk County,2009,784500,723400,61000,7.8,32603,2740,33,85,1059,1563,29863,4555,23647,1661,Non-New York City
Suffolk County,2010,770700,711500,59100,7.7,32638,2377,52,68,877,1380,30261,4822,23841,1598,Non-New York City
Suffolk County,2011,771100,712000,59100,7.7,31406,2217,32,63,818,1304,29189,5108,22807,1274,Non-New York City
Suffolk County,2012,778700,721200,57600,7.4,28885,2127,23,47,757,1300,26758,4361,21212,1185,Non-New York City
Suffolk County,2013,770600,726900,43600,5.7,26379,1934,27,53,694,1160,24445,3610,19656,1179,Non-New York City
Suffolk County,2014,759100,723000,36200,4.8,26121,1765,29,50,633,1053,24356,3338,19775,1243,Non-New York City
Suffolk County,2015,776400,743600,32800,4.2,24496,2010,25,167,732,1086,22486,2591,18650,1245,Non-New York City
Suffolk County,2016,767800,734600,33200,4.3,23092,1896,33,151,612,1100,21196,2132,17891,1173,Non-New York City
Suffolk County,2017,785700,752100,33700,4.3,21462,1749,22,161,537,1029,19713,1679,16928,1106,Non-New York City
Suffolk County,2018,792100,765600,26500,3.3,18977,1512,21,208,424,859,17465,1220,15281,964,Non-New York City
Suffolk County,2019,799400,771000,28400,3.6,18194,1419,26,234,303,856,16775,1065,14874,836,Non-New York City
Suffolk County,2020,772100,731100,41000,5.3,18148,1321,33,171,316,801,16827,1127,14434,1266,Non-New York City
Suffolk County,2021,781100,759200,21900,2.8,17114,1455,33,237,282,903,15659,843,13598,1218,Non-New York City
Suffolk County,2022,792500,770100,22400,2.8,20785,1371,27,126,296,922,19414,1018,16925,1471,Non-New York City
Sullivan County,1990,31300,28900,2400,7.7,3169,300,3,18,39,240,2869,1100,1647,122,Non-New York City
Sullivan County,1991,30900,28000,2900,9.4,3229,338,5,17,61,255,2891,1105,1698,88,Non-New York City
Sullivan County,1992,32200,28700,3500,10.8,2872,334,4,24,55,251,2538,947,1518,73,Non-New York City
Sullivan County,1993,31300,28500,2900,9.2,3111,379,4,16,59,300,2732,1081,1546,105,Non-New York City
Sullivan County,1994,30600,28300,2300,7.4,3115,381,5,25,42,309,2734,1158,1468,108,Non-New York City
Sullivan County,1995,30400,28100,2300,7.6,3031,341,4,17,61,259,2690,1149,1458,83,Non-New York City
Sullivan County,1996,30800,28700,2100,6.8,2939,398,0,22,53,323,2541,984,1457,100,Non-New York City
Sullivan County,1997,29900,27500,2300,7.8,2887,430,2,23,45,360,2457,975,1403,79,Non-New York City
Sullivan County,1998,29900,27600,2300,7.8,2528,277,4,15,40,218,2251,767,1411,73,Non-New York City
Sullivan County,1999,30600,28900,1800,5.8,2108,235,6,13,26,190,1873,572,1239,62,Non-New York City
Sullivan County,2000,31800,30400,1500,4.6,2202,285,2,18,51,214,1917,601,1265,51,Non-New York City
Sullivan County,2001,33200,31300,1900,5.7,1817,259,3,17,29,210,1558,393,1131,34,Non-New York City
Sullivan County,2002,33700,31900,1800,5.3,1837,256,0,18,37,201,1581,473,1048,60,Non-New York City
Sullivan County,2003,33400,31400,2000,6,2106,294,2,32,29,231,1812,562,1163,87,Non-New York City
Sullivan County,2004,34600,32600,1900,5.6,1880,273,2,31,31,209,1607,515,1017,75,Non-New York City
Sullivan County,2005,34600,32800,1800,5.1,2221,260,0,22,46,192,1961,565,1317,79,Non-New York City
Sullivan County,2006,34900,33200,1800,5,2004,291,2,28,47,214,1713,489,1131,93,Non-New York City
Sullivan County,2007,34500,32400,2100,6,2067,268,0,20,45,203,1799,492,1206,101,Non-New York City
Sullivan County,2008,34700,31800,2900,8.3,1806,195,3,27,27,138,1611,506,1047,58,Non-New York City
Sullivan County,2009,34300,30900,3400,9.9,1544,186,3,22,28,133,1358,433,891,34,Non-New York City
Sullivan County,2010,35100,31700,3400,9.6,1708,219,3,24,34,158,1489,434,1004,51,Non-New York City
Sullivan County,2011,34500,31200,3300,9.5,1940,201,2,20,26,153,1739,549,1146,44,Non-New York City
Sullivan County,2012,34300,31000,3300,9.6,1929,179,1,34,29,115,1750,569,1140,41,Non-New York City
Sullivan County,2013,32800,30200,2600,7.9,1720,172,1,18,22,131,1548,484,1024,40,Non-New York City
Sullivan County,2014,32300,30300,2000,6.2,1646,157,3,14,27,113,1489,471,978,40,Non-New York City
Sullivan County,2015,33000,31300,1700,5.1,1331,171,1,64,15,91,1160,333,806,21,Non-New York City
Sullivan County,2016,32900,31200,1700,5.1,1229,197,4,68,23,102,1032,265,732,35,Non-New York City
Sullivan County,2017,34000,32300,1800,5.2,1282,221,2,98,13,108,1061,263,763,35,Non-New York City
Sullivan County,2018,36300,34900,1400,3.9,1198,195,1,65,20,109,1003,220,746,37,Non-New York City
Sullivan County,2019,37200,35600,1500,4.2,1018,187,1,69,12,105,831,178,626,27,Non-New York City
Sullivan County,2020,35900,33700,2200,6.1,852,147,4,45,17,81,705,125,545,35,Non-New York City
Sullivan County,2021,35800,34600,1100,3.2,932,136,5,41,14,76,796,141,606,49,Non-New York City
Sullivan County,2022,36600,35400,1100,3.1,845,143,4,42,18,79,702,108,547,47,Non-New York City
Ulster County,1990,82700,78700,4000,4.8,5542,613,8,24,68,513,4929,1429,3238,262,Non-New York City
Ulster County,1991,81800,76800,5100,6.2,5184,544,5,36,68,435,4640,1190,3215,235,Non-New York City
Ulster County,1992,81400,75900,5500,6.7,5211,501,7,38,74,382,4710,1154,3375,181,Non-New York City
Ulster County,1993,81200,75400,5800,7.2,5048,556,2,42,87,425,4492,1024,3259,209,Non-New York City
Ulster County,1994,78600,74400,4200,5.3,5030,593,7,38,60,488,4437,914,3316,207,Non-New York City
Ulster County,1995,76100,72400,3600,4.8,4776,524,7,47,56,414,4252,941,3147,164,Non-New York City
Ulster County,1996,77000,74100,3000,3.8,4548,592,7,24,57,504,3956,852,2917,187,Non-New York City
Ulster County,1997,79400,76400,3000,3.7,4880,629,3,23,77,526,4251,965,3085,201,Non-New York City
Ulster County,1998,81600,79000,2600,3.2,4207,543,4,19,62,458,3664,795,2701,168,Non-New York City
Ulster County,1999,82600,80000,2600,3.1,4072,389,7,22,51,309,3683,628,2851,204,Non-New York City
Ulster County,2000,87700,84900,2800,3.2,3963,401,1,23,55,322,3562,694,2679,189,Non-New York City
Ulster County,2001,89000,85000,4000,4.5,3500,359,3,18,43,295,3141,562,2415,164,Non-New York City
Ulster County,2002,91800,87900,3900,4.3,4106,525,1,26,93,405,3581,724,2696,161,Non-New York City
Ulster County,2003,89900,85600,4400,4.8,4026,582,4,36,107,435,3444,679,2552,213,Non-New York City
Ulster County,2004,90900,86600,4300,4.7,3905,467,5,36,94,332,3438,575,2737,126,Non-New York City
Ulster County,2005,91400,87500,3800,4.2,4062,558,3,65,105,385,3504,566,2772,166,Non-New York City
Ulster County,2006,91700,88400,3400,3.7,3919,512,5,50,76,381,3407,697,2556,154,Non-New York City
Ulster County,2007,89700,85400,4300,4.8,3473,455,3,41,66,345,3018,630,2259,129,Non-New York City
Ulster County,2008,89300,83600,5700,6.4,3670,459,6,51,71,331,3211,823,2291,97,Non-New York City
Ulster County,2009,88600,81300,7400,8.3,3898,445,1,27,98,319,3453,709,2627,117,Non-New York City
Ulster County,2010,91500,84300,7200,7.9,3840,408,2,31,63,312,3432,707,2617,108,Non-New York City
Ulster County,2011,90800,83600,7200,7.9,3772,335,2,43,65,225,3437,752,2597,88,Non-New York City
Ulster County,2012,90100,82800,7200,8,3943,279,1,31,38,209,3664,732,2853,79,Non-New York City
Ulster County,2013,88500,83000,5400,6.1,3582,294,3,31,52,208,3288,593,2640,55,Non-New York City
Ulster County,2014,86600,82300,4300,5,3262,293,5,50,49,189,2969,558,2367,44,Non-New York City
Ulster County,2015,88000,84200,3800,4.3,3011,304,0,96,41,167,2707,421,2214,72,Non-New York City
Ulster County,2016,86700,82800,3900,4.5,2644,297,4,75,36,182,2347,396,1886,65,Non-New York City
Ulster County,2017,88500,84700,3800,4.3,2572,289,2,64,40,183,2283,312,1904,67,Non-New York City
Ulster County,2018,89400,86200,3200,3.5,2262,283,5,94,22,162,1979,289,1609,81,Non-New York City
Ulster County,2019,89800,86600,3200,3.5,2115,258,4,74,19,161,1857,242,1547,68,Non-New York City
Ulster County,2020,85400,80800,4700,5.5,1925,228,7,65,24,132,1697,219,1408,70,Non-New York City
Ulster County,2021,85800,83300,2500,2.9,1753,245,2,69,27,147,1508,123,1301,84,Non-New York City
Ulster County,2022,86100,83600,2500,2.9,1727,202,2,42,22,136,1525,130,1314,81,Non-New York City
Westchester County,1990,463800,445000,18800,4,38145,3871,50,128,1927,1766,34274,6465,21564,6245,Non-New York City
Westchester County,1991,452400,427800,24600,5.4,37118,3933,36,120,2037,1740,33185,6365,20513,6307,Non-New York City
Westchester County,1992,449700,423500,26200,5.8,34275,3722,32,133,1780,1777,30553,6118,19526,4909,Non-New York City
Westchester County,1993,440800,419200,21600,4.9,32727,3840,34,123,1870,1813,28887,5451,18627,4809,Non-New York City
Westchester County,1994,438900,421400,17500,4,31166,3632,28,129,1832,1643,27534,5037,17747,4750,Non-New York City
Westchester County,1995,436300,419300,16900,3.9,31001,3572,29,95,1757,1691,27429,4559,18796,4074,Non-New York City
Westchester County,1996,450000,434500,15500,3.4,29486,3227,42,105,1541,1539,26259,4503,17809,3947,Non-New York City
Westchester County,1997,457600,443100,14500,3.2,28601,3146,31,107,1433,1575,25455,4370,16955,4130,Non-New York City
Westchester County,1998,453000,440000,13000,2.9,25977,2994,25,109,1328,1532,22983,3446,16329,3208,Non-New York City
Westchester County,1999,457100,444400,12800,2.8,22710,2740,13,80,1140,1507,19970,2783,14270,2917,Non-New York City
Westchester County,2000,464900,451000,13900,3,22034,2624,31,99,1002,1492,19410,2854,13957,2599,Non-New York City
Westchester County,2001,466800,445900,20900,4.5,21591,2789,18,90,1136,1545,18802,2758,13729,2315,Non-New York City
Westchester County,2002,474400,454100,20300,4.3,19948,2575,33,78,1057,1407,17373,2747,12583,2043,Non-New York City
Westchester County,2003,470900,450100,20900,4.4,19498,2616,21,89,1145,1361,16882,2606,12438,1838,Non-New York City
Westchester County,2004,482100,462000,20100,4.2,18622,2601,29,105,1171,1296,16021,2300,12185,1536,Non-New York City
Westchester County,2005,486200,467900,18300,3.8,17345,2648,23,77,1278,1270,14697,2088,11343,1266,Non-New York City
Westchester County,2006,489400,473400,15900,3.3,17678,2768,20,83,1364,1301,14910,2202,11621,1087,Non-New York City
Westchester County,2007,490500,471600,18900,3.8,16786,2478,22,90,1038,1328,14308,2337,11000,971,Non-New York City
Westchester County,2008,490600,462900,27800,5.7,16723,2414,27,75,1093,1219,14309,2370,11096,843,Non-New York City
Westchester County,2009,480800,445100,35700,7.4,16636,2482,22,77,1042,1341,14154,2249,11007,898,Non-New York City
Westchester County,2010,471700,437800,33900,7.2,15392,2457,20,75,1095,1267,12935,1983,10276,676,Non-New York City
Westchester County,2011,471100,437800,33300,7.1,16283,2557,21,71,1034,1431,13726,2125,10823,778,Non-New York City
Westchester County,2012,476500,443200,33300,7,15040,2448,20,72,924,1432,12592,1887,10069,636,Non-New York City
Westchester County,2013,469000,443900,25100,5.3,14135,2192,11,59,843,1279,11943,1678,9646,619,Non-New York City
Westchester County,2014,467700,446500,21100,4.5,12106,2149,14,65,804,1266,9957,1490,7995,472,Non-New York City
Westchester County,2015,477300,458000,19300,4,12240,2148,17,171,739,1221,10092,1307,8103,682,Non-New York City
Westchester County,2016,473800,453700,20200,4.3,12543,2116,24,144,768,1180,10427,1328,8490,609,Non-New York City
Westchester County,2017,485400,465000,20400,4.2,11580,1953,19,135,600,1199,9627,1010,8031,586,Non-New York City
Westchester County,2018,491800,475000,16800,3.4,9848,1678,14,127,452,1085,8170,822,6896,452,Non-New York City
Westchester County,2019,499300,481600,17700,3.5,9664,1633,13,118,450,1052,8031,672,6891,468,Non-New York City
Westchester County,2020,478700,450900,27800,5.8,10308,1584,25,112,395,1052,8724,818,7164,742,Non-New York City
Westchester County,2021,484900,471000,13900,2.9,9286,1521,20,95,381,1025,7765,741,6348,676,Non-New York City
Westchester County,2022,493300,479900,13400,2.7,11193,1677,10,98,444,1125,9516,770,7944,802,Non-New York City
